"quantitySum","d","side"
"182355.6940980004","2019-12-30 00:00:00","buy"
"147282.48027600025","2019-12-31 00:00:00","buy"
"80768.01577000003","2020-01-01 00:00:00","buy"
"124736.3687320001","2020-01-02 00:00:00","buy"
"217988.93781800062","2020-01-03 00:00:00","buy"
"112085.08818900016","2020-01-04 00:00:00","buy"
"146209.64890000006","2020-01-05 00:00:00","buy"
"234257.3028260006","2020-01-06 00:00:00","buy"
"268677.8542820008","2020-01-07 00:00:00","buy"
"345821.97509500076","2020-01-08 00:00:00","buy"
"212744.85051900058","2020-01-09 00:00:00","buy"
"237053.21228100063","2020-01-10 00:00:00","buy"
"205463.36580300052","2020-01-11 00:00:00","buy"
"135585.00135200014","2020-01-12 00:00:00","buy"
"124393.23605800023","2020-01-13 00:00:00","buy"
"170413.7662660002","2020-01-14 00:00:00","buy"
"42322.74657999997","2020-01-15 00:00:00","buy"
"25994.772933999986","2020-01-16 00:00:00","buy"
"34757.92853199999","2020-01-17 00:00:00","buy"
"18860.873423","2020-01-18 00:00:00","buy"
"37020.946017999966","2020-01-19 00:00:00","buy"
"19442.775963999982","2020-01-20 00:00:00","buy"
"17761.563226999977","2020-01-21 00:00:00","buy"
"14603.399625999971","2020-01-22 00:00:00","buy"
"24870.421676999962","2020-01-23 00:00:00","buy"
"20394.039942999974","2020-01-24 00:00:00","buy"
"12443.672070999988","2020-01-25 00:00:00","buy"
"15332.57389699997","2020-01-26 00:00:00","buy"
"25378.11392899993","2020-01-27 00:00:00","buy"
"35732.490518999926","2020-01-28 00:00:00","buy"
"27248.41379299992","2020-01-29 00:00:00","buy"
"29774.188808999963","2020-01-30 00:00:00","buy"
"23069.55145299996","2020-01-31 00:00:00","buy"
"13898.941048999981","2020-02-01 00:00:00","buy"
"23102.50647999993","2020-02-02 00:00:00","buy"
"26110.735754999918","2020-02-03 00:00:00","buy"
"27204.742958999956","2020-02-04 00:00:00","buy"
"29494.810412999956","2020-02-05 00:00:00","buy"
"32806.25194099996","2020-02-06 00:00:00","buy"
"21232.126445999977","2020-02-07 00:00:00","buy"
"21421.30076899999","2020-02-08 00:00:00","buy"
"21000.198288999964","2020-02-09 00:00:00","buy"
"30954.201373999884","2020-02-10 00:00:00","buy"
"30517.078803999924","2020-02-11 00:00:00","buy"
"29840.09476499998","2020-02-12 00:00:00","buy"
"40869.08621099994","2020-02-13 00:00:00","buy"
"23340.81746999993","2020-02-14 00:00:00","buy"
"31029.50166399998","2020-02-15 00:00:00","buy"
"30617.862697999935","2020-02-16 00:00:00","buy"
"37039.172659999895","2020-02-17 00:00:00","buy"
"25196.80162499995","2020-02-18 00:00:00","buy"
"392.91258099999993","2020-03-02 00:00:00","buy"
"10699.498522999982","2020-03-03 00:00:00","buy"
"19289.418648999963","2020-03-04 00:00:00","buy"
"27719.784183999964","2020-03-05 00:00:00","buy"
"21486.387538000054","2020-03-06 00:00:00","buy"
"23230.115489999967","2020-03-07 00:00:00","buy"
"42693.70731699987","2020-03-08 00:00:00","buy"
"58947.9053409998","2020-03-09 00:00:00","buy"
"41161.94285799992","2020-03-10 00:00:00","buy"
"38088.752284999886","2020-03-11 00:00:00","buy"
"142576.35967799934","2020-03-12 00:00:00","buy"
"200614.71644699972","2020-03-13 00:00:00","buy"
"21202.06037199995","2020-03-14 00:00:00","buy"
"43009.165196999784","2020-03-18 00:00:00","buy"
"100008.92642799976","2020-03-19 00:00:00","buy"
"114779.30489399964","2020-03-20 00:00:00","buy"
"65774.73022599977","2020-03-21 00:00:00","buy"
"61275.09957499991","2020-03-22 00:00:00","buy"
"18051.834697999977","2020-03-23 00:00:00","buy"
"15360.71688599993","2020-03-29 00:00:00","buy"
"60026.23700899993","2020-03-30 00:00:00","buy"
"37606.692924999945","2020-03-31 00:00:00","buy"
"48339.38220499995","2020-04-01 00:00:00","buy"
"74577.74312299996","2020-04-02 00:00:00","buy"
"52999.385312999875","2020-04-03 00:00:00","buy"
"36571.80445500001","2020-04-04 00:00:00","buy"
"25809.778671","2020-04-05 00:00:00","buy"
"58780.62265999989","2020-04-06 00:00:00","buy"
"54773.9011289999","2020-04-07 00:00:00","buy"
"37058.59327299994","2020-04-08 00:00:00","buy"
"32292.97956600006","2020-04-09 00:00:00","buy"
"56715.66256999991","2020-04-10 00:00:00","buy"
"15560.179571999992","2020-04-11 00:00:00","buy"
"36516.235338000006","2020-04-14 00:00:00","buy"
"31704.492744000003","2020-04-15 00:00:00","buy"
"35360.75876599992","2020-04-16 00:00:00","buy"
"19248.684618999945","2020-04-18 00:00:00","buy"
"24145.832953999918","2020-04-19 00:00:00","buy"
"48531.988345999845","2020-04-20 00:00:00","buy"
"29826.731497999932","2020-04-21 00:00:00","buy"
"33056.65619399994","2020-04-22 00:00:00","buy"
"50297.97101999985","2020-04-23 00:00:00","buy"
"30769.610795999968","2020-04-24 00:00:00","buy"
"22752.357253999995","2020-04-25 00:00:00","buy"
"25815.121983999943","2020-04-26 00:00:00","buy"
"33843.91833499995","2020-04-27 00:00:00","buy"
"24997.25127799994","2020-04-28 00:00:00","buy"
"92049.91418599976","2020-04-29 00:00:00","buy"
"106614.89946299982","2020-04-30 00:00:00","buy"
"46705.46057799992","2020-05-01 00:00:00","buy"
"28601.73410099997","2020-05-02 00:00:00","buy"
"42072.53078499988","2020-05-03 00:00:00","buy"
"41700.789346999874","2020-05-04 00:00:00","buy"
"37198.283179999744","2020-05-05 00:00:00","buy"
"54731.325572999805","2020-05-06 00:00:00","buy"
"72577.49287299982","2020-05-07 00:00:00","buy"
"54473.96159199983","2020-05-08 00:00:00","buy"
"41940.58162099991","2020-05-09 00:00:00","buy"
"91761.61905699984","2020-05-10 00:00:00","buy"
"84237.35655099979","2020-05-11 00:00:00","buy"
"45931.1875629999","2020-05-12 00:00:00","buy"
"48867.92037599997","2020-05-13 00:00:00","buy"
"68681.5692309998","2020-05-14 00:00:00","buy"
"60475.45358399987","2020-05-15 00:00:00","buy"
"30726.25966199993","2020-05-16 00:00:00","buy"
"31957.867978000002","2020-05-17 00:00:00","buy"
"38291.248178999755","2020-05-18 00:00:00","buy"
"37299.54224099982","2020-05-19 00:00:00","buy"
"41441.941411999906","2020-05-20 00:00:00","buy"
"59013.84993199986","2020-05-21 00:00:00","buy"
"29955.815127999875","2020-05-22 00:00:00","buy"
"22148.68063399995","2020-05-23 00:00:00","buy"
"35765.87310599999","2020-05-24 00:00:00","buy"
"29264.079733999963","2020-05-25 00:00:00","buy"
"27578.372985999955","2020-05-26 00:00:00","buy"
"32484.152552000003","2020-05-27 00:00:00","buy"
"34365.38661599993","2020-05-28 00:00:00","buy"
"30555.150066999988","2020-05-29 00:00:00","buy"
"26412.592636000027","2020-05-30 00:00:00","buy"
"25555.785233999923","2020-05-31 00:00:00","buy"
"34913.43819399993","2020-06-01 00:00:00","buy"
"58253.720520999916","2020-06-02 00:00:00","buy"
"23596.336789000034","2020-06-03 00:00:00","buy"
"28677.863597999956","2020-06-04 00:00:00","buy"
"26083.580662999993","2020-06-05 00:00:00","buy"
"16920.25712799998","2020-06-06 00:00:00","buy"
"29513.59479300003","2020-06-07 00:00:00","buy"
"20919.33968099996","2020-06-08 00:00:00","buy"
"24109.555153999925","2020-06-09 00:00:00","buy"
"23999.170617999913","2020-06-10 00:00:00","buy"
"53446.91998099977","2020-06-11 00:00:00","buy"
"25774.250561999914","2020-06-12 00:00:00","buy"
"14228.777637000027","2020-06-13 00:00:00","buy"
"15590.090456999907","2020-06-14 00:00:00","buy"
"44477.17717799982","2020-06-15 00:00:00","buy"
"26515.04325199997","2020-06-16 00:00:00","buy"
"25203.579875999967","2020-06-17 00:00:00","buy"
"19441.548511999983","2020-06-18 00:00:00","buy"
"23275.014626999964","2020-06-19 00:00:00","buy"
"15203.983614999965","2020-06-20 00:00:00","buy"
"12537.129051999986","2020-06-21 00:00:00","buy"
"27157.267967999946","2020-06-22 00:00:00","buy"
"21918.42316399999","2020-06-23 00:00:00","buy"
"34668.01740299995","2020-06-24 00:00:00","buy"
"29434.376638999896","2020-06-25 00:00:00","buy"
"26984.394801999922","2020-06-26 00:00:00","buy"
"26666.968372999963","2020-06-27 00:00:00","buy"
"15705.371892999989","2020-06-28 00:00:00","buy"
"21671.15857199998","2020-06-29 00:00:00","buy"
"16195.415334000001","2020-06-30 00:00:00","buy"
"19419.696994000024","2020-07-01 00:00:00","buy"
"24087.53758699998","2020-07-02 00:00:00","buy"
"15220.343470000018","2020-07-03 00:00:00","buy"
"12853.148883999991","2020-07-04 00:00:00","buy"
"17797.41935700001","2020-07-05 00:00:00","buy"
"26322.263674999973","2020-07-06 00:00:00","buy"
"18301.48413799994","2020-07-07 00:00:00","buy"
"28067.71399099986","2020-07-08 00:00:00","buy"
"25432.820949999892","2020-07-09 00:00:00","buy"
"19934.880837999903","2020-07-10 00:00:00","buy"
"11745.89270699994","2020-07-11 00:00:00","buy"
"15892.514581999854","2020-07-12 00:00:00","buy"
"23050.625777999594","2020-07-13 00:00:00","buy"
"24106.01555799959","2020-07-14 00:00:00","buy"
"21194.954217999726","2020-07-15 00:00:00","buy"
"22965.44118199992","2020-07-16 00:00:00","buy"
"14854.72722899996","2020-07-17 00:00:00","buy"
"10156.425866999993","2020-07-18 00:00:00","buy"
"12053.053205999988","2020-07-19 00:00:00","buy"
"17291.628259999983","2020-07-20 00:00:00","buy"
"28361.914102999875","2020-07-21 00:00:00","buy"
"23426.827295999927","2020-07-22 00:00:00","buy"
"25235.310496999926","2020-07-23 00:00:00","buy"
"21588.12614499996","2020-07-24 00:00:00","buy"
"19239.14547599996","2020-07-25 00:00:00","buy"
"28869.17203999993","2020-07-26 00:00:00","buy"
"67442.6776409996","2020-07-27 00:00:00","buy"
"46525.87667999986","2020-07-28 00:00:00","buy"
"37133.484355999884","2020-07-29 00:00:00","buy"
"29835.537761999916","2020-07-30 00:00:00","buy"
"33025.36019499991","2020-07-31 00:00:00","buy"
"40929.71187799983","2020-08-01 00:00:00","buy"
"46149.964164999845","2020-08-02 00:00:00","buy"
"27277.050849999894","2020-08-03 00:00:00","buy"
"28202.34525999991","2020-08-04 00:00:00","buy"
"35596.905454999855","2020-08-05 00:00:00","buy"
"30704.187824999997","2020-08-06 00:00:00","buy"
"32542.326605999922","2020-08-07 00:00:00","buy"
"19662.483133999885","2020-08-08 00:00:00","buy"
"20654.05198999988","2020-08-09 00:00:00","buy"
"38996.755505999936","2020-08-10 00:00:00","buy"
"45317.02949399991","2020-08-11 00:00:00","buy"
"31110.169139999907","2020-08-12 00:00:00","buy"
"32443.983470999934","2020-08-13 00:00:00","buy"
"28742.23755699989","2020-08-14 00:00:00","buy"
"26503.620585999954","2020-08-15 00:00:00","buy"
"20535.78521599993","2020-08-16 00:00:00","buy"
"38646.65999299985","2020-08-17 00:00:00","buy"
"36539.456760999914","2020-08-18 00:00:00","buy"
"35802.609289999906","2020-08-19 00:00:00","buy"
"22046.136656999945","2020-08-20 00:00:00","buy"
"31057.181454999933","2020-08-21 00:00:00","buy"
"20196.87817599997","2020-08-22 00:00:00","buy"
"17771.745802999947","2020-08-23 00:00:00","buy"
"21525.243864999928","2020-08-24 00:00:00","buy"
"34009.03358999991","2020-08-25 00:00:00","buy"
"28375.69449099995","2020-08-26 00:00:00","buy"
"32576.879114999952","2020-08-27 00:00:00","buy"
"24239.705505999937","2020-08-28 00:00:00","buy"
"17264.489214999972","2020-08-29 00:00:00","buy"
"20919.76315199995","2020-08-30 00:00:00","buy"
"28971.004189999985","2020-08-31 00:00:00","buy"
"40636.19127399987","2020-09-01 00:00:00","buy"
"46871.39262599995","2020-09-02 00:00:00","buy"
"67497.42024199983","2020-09-03 00:00:00","buy"
"50025.58827999988","2020-09-04 00:00:00","buy"
"46558.867075999675","2020-09-05 00:00:00","buy"
"28601.976077999872","2020-09-06 00:00:00","buy"
"32043.530002999913","2020-09-07 00:00:00","buy"
"39092.26114799986","2020-09-08 00:00:00","buy"
"25531.70134899997","2020-09-09 00:00:00","buy"
"30561.68289399989","2020-09-10 00:00:00","buy"
"22585.233712999936","2020-09-11 00:00:00","buy"
"17818.38421099995","2020-09-12 00:00:00","buy"
"23050.164222999927","2020-09-13 00:00:00","buy"
"35178.92820399993","2020-09-14 00:00:00","buy"
"32078.365508999916","2020-09-15 00:00:00","buy"
"33319.390208999954","2020-09-16 00:00:00","buy"
"28563.874320999956","2020-09-17 00:00:00","buy"
"24221.80838899995","2020-09-18 00:00:00","buy"
"18516.977590999937","2020-09-19 00:00:00","buy"
"19720.22820199995","2020-09-20 00:00:00","buy"
"34677.640968999964","2020-09-21 00:00:00","buy"
"20674.00304199987","2020-09-22 00:00:00","buy"
"24583.64111799994","2020-09-23 00:00:00","buy"
"27220.017010999847","2020-09-24 00:00:00","buy"
"22486.506060999916","2020-09-25 00:00:00","buy"
"12967.071652999966","2020-09-26 00:00:00","buy"
"14220.737079999944","2020-09-27 00:00:00","buy"
"22898.180589999913","2020-09-28 00:00:00","buy"
"20146.329282999883","2020-09-29 00:00:00","buy"
"19124.727686999922","2020-09-30 00:00:00","buy"
"29658.112568999783","2020-10-01 00:00:00","buy"
"23837.34309699986","2020-10-02 00:00:00","buy"
"10599.470789999978","2020-10-03 00:00:00","buy"
"10176.519524999969","2020-10-04 00:00:00","buy"
"16901.239521999953","2020-10-05 00:00:00","buy"
"23386.656016999874","2020-10-06 00:00:00","buy"
"15646.121029999933","2020-10-07 00:00:00","buy"
"24353.22712499983","2020-10-08 00:00:00","buy"
"22581.441840999843","2020-10-09 00:00:00","buy"
"20837.662405999818","2020-10-10 00:00:00","buy"
"14573.407069999885","2020-10-11 00:00:00","buy"
"25959.354388999822","2020-10-12 00:00:00","buy"
"22859.125103999868","2020-10-13 00:00:00","buy"
"22344.27825399993","2020-10-14 00:00:00","buy"
"24740.589740999927","2020-10-15 00:00:00","buy"
"25976.156017999827","2020-10-16 00:00:00","buy"
"12050.890626999975","2020-10-17 00:00:00","buy"
"8608.347800999962","2020-10-18 00:00:00","buy"
